BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10
1,01039,0014,,2021,365145.0,27600.0,,,,392745.0,136242.0,,15858.0,
1,01039,0032,,2021,522676.0,1648033.0,,,6983.0,3200763.0,1611351.0,89098.0,377311.0,
1,01039,0060,,2021,88410.0,312420.0,,,,400830.0,180019.0,,80531.0,
1,01039,0026,,2021,,83400.0,,33050.0,,144950.0,327268.0,12375.0,21536.0,
1,01039,0062,,2021,54379.0,374454.0,,,,429772.0,176452.0,11407.0,72319.0,
1,01040,0050,,2021,,,,,,5925509.0,5746334.0,3616845.0,769699.0,
1,01039,0009,,2021,,,,,,584486.0,182195.0,,65946.0,
1,01040,0050,,2021,,,,,,5925509.0,5746334.0,3616845.0,769699.0,
1,01039,0006,,2021,,247821.0,,,,247821.0,66608.0,4279.0,8453.0,
1,01040,0029,,2021,,,117444915.0,,,150641709.0,36099160.0,10348667.0,4761931.0,
1,01041,0019,,2021,3898056.0,,,,,4716016.0,1019123.0,118743.0,136099.0,
1,01041,0029,,2021,,11271228.0,,,,16727563.0,3084541.0,2266.0,248623.0,
1,01041,0003,,2021,24000.0,17883.0,,,,61490.0,128212.0,,5678.0,
1,01041,0038,,2021,44417.0,788120.0,,,,841621.0,334708.0,,148528.0,
1,01041,0040,,2021,92844.0,196600.0,,,,289444.0,118658.0,,24702.0,
1,01041,0027,,2021,,79488.0,,,,277388.0,165183.0,5772.0,11814.0,
1,01041,0004,,2021,390355.0,88335.0,,,,603809.0,118402.0,8252.0,34940.0,
1,01041,0005,,2021,37848.0,172800.0,,,,264264.0,107174.0,,25412.0,
1,01041,0057,,2021,160578.0,298019.0,,,,476990.0,252804.0,24414.0,33458.0,
1,01041,0060,,2021,6888.0,426265.0,,,,433153.0,181766.0,,46930.0,
1,01041,0041,,2021,,280470.0,,,,280470.0,134919.0,,25002.0,
1,01041,0061,,2021,44486.0,343856.0,,,,692485.0,225050.0,10292.0,74577.0,
1,01041,0001,,2021,,,,,,210000.0,164952.0,,47891.0,
1,01042,0001,,2021,38924.0,139410.0,,,,717007.0,210633.0,13730.0,34637.0,
1,01042,0018,,2021,,,,,,,16379.0,,445.0,
1,01042,0020,,2021,,354621.0,,,,554213.0,330781.0,36517.0,115581.0,
1,01042,0002,,2021,19356.0,106820.0,,,,260049.0,146121.0,,67435.0,
1,01042,0003,,2021,19192.0,126686.0,,,,300075.0,168610.0,,77814.0,
1,01042,0004,,2021,63186.0,84983.0,,,,248647.0,139713.0,,64478.0,
1,01042,0051,,2021,,,,,,156659.0,20362.0,,,
1,01042,0015,,2021,2012700.0,44447300.0,,,,46460000.0,174449.0,,33024.0,
1,01041,0063,,2021,37985.0,112890.0,,,,250131.0,134147.0,,17277.0,
1,01042,0005,,2021,,752876.0,,,,773303.0,371545.0,,236420.0,
1,01042,0053,,2021,,,,,,,9528.0,,,
1,01042,0060,,2021,,195500.0,,,,294235.0,146863.0,23500.0,32745.0,
1,01042,0061,,2021,,139550.0,,,,413120.0,317776.0,17500.0,80980.0,
1,01042,0064,,2021,1860.0,159925.0,,,,283785.0,173093.0,,27511.0,
1,01042,0007,,2021,19033.0,1028970.0,,,,1014393.0,596752.0,69925.0,100480.0,
1,01042,0009,,2021,197924.0,62561.0,,,,260485.0,114160.0,,34037.0,
1,01041,0062,,2021,,,,,,349180.0,150034.0,6862.0,49718.0,
1,01043,1101,1101,2021,,,,,,686665.0,287838.0,33183.0,11490.0,
1,01043,1001,1001,2021,,,,,,1186619.0,257100.0,18343.0,17185.0,
1,01043,1301,1301,2021,,,,,,163389.0,69968.0,,14750.0,
1,01043,0013,,2021,,,3321585.0,,,3787956.0,2157484.0,347114.0,127751.0,
1,01043,0040,,2021,,480000.0,66000.0,,,697800.0,349166.0,,81666.0,
1,01043,0004,,2021,269755.0,,,,,413145.0,130707.0,,42545.0,
1,01043,0059,,2021,34524.0,212658.0,,,7295.0,254477.0,200869.0,,23060.0,
1,01043,0061,,2021,384860.0,,,,,675518.0,212600.0,,52045.0,
1,01043,1302,1302,2021,,205865.0,,,,205865.0,82829.0,,36048.0,
1,01043,0062,,2021,356932.0,,,,,420390.0,140222.0,,32389.0,
1,01043,0009,,2021,33600.0,,26400.0,,,60000.0,44257.0,,2286.0,
1,01044,0010,,2021,30640.0,216584.0,,,,247950.0,85902.0,7040.0,2739.0,
1,01044,1261,1261,2021,,,,,,449687.0,62388.0,11007.0,7858.0,
1,01044,0002,,2021,2848.0,429517.0,,,,806360.0,159984.0,,18253.0,
1,01042,0058,,2021,109400.0,,,,,111370.0,96803.0,,20829.0,
1,01045,0001,,2021,71957.0,792841.0,,,,1150095.0,432290.0,42434.0,51843.0,
1,01045,0022,,2021,627265.0,2000196.0,,,,2782203.0,644840.0,,82772.0,
1,01044,1262,1262,2021,,,,,,1708547.0,272363.0,44719.0,54335.0,
1,01045,0003,,2021,,,,,,45999.0,98167.0,,27478.0,
1,01045,0054,,2021,2490119.0,,,,11901.0,2543461.0,1244872.0,60344.0,161407.0,36061013900
1,01045,0050,,2021,1103741.0,,,,715.0,1104456.0,505359.0,14894.0,64129.0,
1,01045,0012,,2021,2742175.0,,,,,2742175.0,1344674.0,236279.0,352280.0,36061013900
1,01045,0005,,2021,17580.0,325569.0,,,,343149.0,216198.0,,38440.0,
1,01046,0160,,2021,11173.0,,,,,11173.0,123772.0,,3345.0,
1,01046,0017,,2021,,,,,,,19340.0,,,
1,01046,0031,,2021,,212263.0,,,,250275.0,100386.0,14375.0,10037.0,
1,01046,0032,,2021,77105.0,,,25000.0,,102105.0,66998.0,,40071.0,
1,01046,0036,,2021,69445.0,28765.0,786941.0,,,1667894.0,505114.0,,47059.0,
1,01046,0037,,2021,146925.0,,,,,146925.0,109519.0,8876.0,35131.0,
1,01046,0117,,2021,,,,,,,16392.0,,,
1,01045,0061,,2021,33770600.0,171259900.0,,,1052300.0,361555300.0,1588818.0,69311.0,132339.0,
1,01046,0004,,2021,,,,,,178969.0,39939.0,,9221.0,
1,01046,0047,,2021,765434.0,7174461.0,,,,8503990.0,2881749.0,,231756.0,
1,01046,0063,,2021,,225000.0,,,,290000.0,58200.0,,15000.0,
1,01047,1012,1012,2021,,,,12000.0,,12000.0,36043.0,,2134.0,
1,01047,1020,1020,2021,,,,12000.0,,12000.0,41100.0,,2236.0,
1,01046,0009,,2021,1116338.0,920801.0,,,,2051056.0,1109459.0,203964.0,237944.0,
1,01047,1001,1001,2021,,,,,,1139581.0,546728.0,65385.0,82803.0,
1,01048,0017,,2021,68212.0,212713.0,,,,535157.0,190572.0,,23360.0,
1,01047,2716,2724,2021,,,621282.0,,,4875662.0,3867170.0,578479.0,597114.0,
1,01047,1601,1602,2021,,,,51999501.0,,54103727.0,31365963.0,2899868.0,4675893.0,
1,01048,1801,1801,2021,,,,,,990670.0,329770.0,,499.0,
1,01048,0019,,2021,,204912.0,,77000.0,,438895.0,143795.0,23334.0,22576.0,
1,01048,0025,,2021,58910.0,283206.0,,,,568281.0,287881.0,,114016.0,
1,01046,0043,,2021,1154098.0,350402.0,,,,1504699.0,678535.0,,93094.0,
1,01048,0026,,2021,1143188.0,1106685.0,,,18016.0,2409515.0,1640371.0,380099.0,109812.0,
1,01048,3001,3001,2021,,,,,,631416.0,189301.0,32952.0,5082.0,
1,01048,0041,,2021,35052.0,303480.0,,,,338532.0,357498.0,73272.0,17063.0,
1,01048,0033,,2021,,,8264621.0,,,9582214.0,4302021.0,374039.0,483954.0,
1,01048,1802,1802,2021,,,,,,135091.0,,,68.0,
1,01049,1001,1001,2021,,,,,,3304146.0,1398429.0,260014.0,673103.0,
1,01048,0008,,2021,37191.0,121200.0,,,,158391.0,83651.0,39800.0,6694.0,
1,01049,1241,1241,2021,,,1451404.0,,,2162953.0,1550776.0,214982.0,337583.0,
1,01049,1242,1242,2021,,,3298864.0,,,3978327.0,565497.0,,,
1,01051,1001,1001,2021,,,,,,106000.0,24421.0,,,
1,01051,1003,1003,2021,8336402.0,,,,,8336402.0,4261406.0,,401766.0,
1,01051,1101,1151,2021,21865807.0,,,,,26076386.0,12668905.0,116652.0,8241966.0,
1,01051,1108,1108,2021,349165.0,,,,,380847.0,442471.0,78887.0,250928.0,
1,01048,3002,3002,2021,,,603141.0,,,606427.0,213231.0,46833.0,5409.0,
1,01051,0040,,2021,20935.0,146580.0,,,,434118.0,184485.0,,,
1,01051,1505,1505,2021,,,,,,618885.0,13761.0,,,
1,01052,0001,,2021,21392353.0,,,,50493644.0,86181487.0,27454947.0,127300.0,3749009.0,36061012100
1,01053,0011,,2021,742605.0,,,,,742605.0,336865.0,30100.0,138042.0,36061012100
1,01051,1504,1504,2021,,,,,,,56121.0,,7806.0,
1,01053,1201,1201,2021,,,,,,658048.0,150924.0,49962.0,7643.0,
